,name,category,price,seller,return_exchange,warranty,no_of_images
0,"Kindle (10th Gen), 6"" Display with Built-in Light,WiFi (Black)",Amazon Devices,7999.00,Cloud connect_SLP,10 days returnable,1 Year Warranty,7
1,"Kindle Paperwhite (10th gen) - with Built-in Light, Waterproof, 8 GB, WiFi",Amazon Devices,12999.00,Cloud connect_SLP,10 days returnable,1 Year Warranty,7
2,"Kindle (10th Gen), 6"" Display with Built-in Light, WiFi (White)",Amazon Devices,7999.00,Cloud connect_SLP,10 days returnable,1 Year Warranty,7
3,"Kindle Paperwhite (10th gen) -with Built-in Light, Waterproof, 32 GB, WiFi + Free 4G LTE",Amazon Devices,17999.00,HARIOM COMMUNICATION LLP,10 days returnable,1 Year Warranty,7
4,"All-New Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 8 GB, WiFi (Graphite)",Amazon Devices,21999.00,Cloud connect_SLP,10 days returnable,1 Year Warranty,6
5,"All-New Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi + Free 4G (Graphite)",Amazon Devices,28999.00,Cloud connect_SLP,10 days returnable,1 Year Warranty,6
6,"All-New Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi (Champagne Gold)",Amazon Devices,24999.00,Cloud connect_SLP,10 days returnable,No-Contact Delivery,6
7,"Kindle Paperwhite 3G (7th gen), 6"" High Resolution Display with Built-in Light, 4GB, Wi-Fi + Free 3G",Amazon Devices,13999.00,Cloud connect_SLP,Returns Policy,No-Contact Delivery,8
8,Kindle E-reader 8th generation!!,Books,Out of Stock,N.A.,N.A.,N.A.,N.A.
9,Kindle Reader,Books,Out of Stock,N.A.,N.A.,N.A.,N.A.
10,Neoskin Kobo/Kindle Calm & Carry on,Books,Out of Stock,N.A.,N.A.,N.A.,N.A.
11,"Το Ἐνυπνιον. [Translated by Ch. A. Parmenides. Originally published in The Prisoner of Chillon, and other poems.]",Books,1589.00,Repro Books-On-Demand,N.A.,N.A.,2
12,Magic Library: A Jacob's Ladder for Book Lovers,Books,N.A.,N.A.,10 Days Replacement Only,10 Days Replacement Only,4
13,Defective Detectives - 2: Nothing Is As It Seems,Toys & Games,Out of Stock,N.A.,N.A.,N.A.,N.A.
14,Mind Your Manners,Books,N.A.,N.A.,10 Days Replacement Only,No Warranty,2
15,Mighty Bright-Blk-Ultra-Lght (Untrathin),Books,Out of Stock,N.A.,N.A.,N.A.,N.A.
